Gene_ID,Gene_Annotation ,Expression_values,Gene_length,Unique_gene_reads,Total_gene_reads,RPKM
g11940.t1,Not Available,88,702,88,88,6.2629
g11941.t1,cellular morphogenesis protein,720,3732,720,1392,18.6348
g11942.t1,Not Available,0,1386,0,0,0.0000
g11943.t1,Not Available,93,1836,93,148,4.0273
g11944.t1,arp2 3 complex 34 kda subunit,786,1002,786,1516,75.5890
g11945.t1,hypothetical protein CMQ_215 [Grosmannia clavigera kw1407],4,930,4,9,0.4835
g11946.t1,conserved hypothetical protein [Verticillium albo-atrum VaMs.102],218,2619,218,284,5.4176
g11947.t1,Not Available,0,840,0,0,0.0000
g11948.t1,casein kinase ii beta 2 subunit,2320,1275,2320,5383,210.9315
g11949.t1,Not Available,0,1023,0,3,0.1465
g1195.t1,phosphoglycerate mutase family protein,1662,4173,1662,3604,43.1483
g11950.t1,small nuclear ribonucleoprotein,98,1296,98,511,19.6990
g11951.t1,Not Available,12,399,12,30,3.7564
g11952.t1,inosine-uridine preferring nucleoside hydrolase,138,1308,138,691,26.3935
g11953.t1,Not Available,1,561,1,1,0.0891
g11954.t1,Not Available,381,1431,381,2152,75.1329
g11955.t1,hypothetical protein MAC_03771 [Metarhizium acridum CQMa 102],0,1272,0,8,0.3142
g11956.t1,secondary alcohol dehydrogenase,179,561,179,337,30.0120
g11957.t1,rhomboid family protein,236,2310,236,753,16.2858
g11958.t1,Not Available,5,453,5,21,2.3161
g11959.t1,Not Available,0,978,0,4,0.2043
g1196.t1,Not Available,0,1029,0,1,0.0486
g11960.t1,conserved hypothetical protein [Verticillium albo-atrum VaMs.102],57,1029,57,122,5.9234
g11961.t1,Not Available,135,912,135,313,17.1466
g11962.t1,mfs monocarboxylate,10,1371,10,10,0.3644
g11963.t1,Not Available,2,1191,2,2,0.0839
g11964.t1,l-lysine -aminomutase,4,1518,4,6,0.1975
g11965.t1,Not Available,14,1284,14,14,0.5447
g11966.t1,integral membrane mpv17 pmp22,50,633,50,76,5.9984
g11967.t1,Not Available,492,1077,492,1713,79.4637
g11968.t1,duf1713 domain protein,465,1062,465,2096,98.6039
g11969.t1,Not Available,326,543,326,1065,97.9889
g1197.t1,Not Available,176,630,176,445,35.2896
g11970.t1,Not Available,2,990,2,2,0.1009
g11971.t1,hypothetical protein FOXB_01213 [Fusarium oxysporum Fo5176],8,1863,8,10,0.2682
g11972.t1,hypothetical protein GLRG_05968 [Glomerella graminicola M1.001],1800,5982,1800,3520,29.3984
g11973.t1,Not Available,0,927,0,0,0.0000
g11974.t1,40s ribosomal protein s2,1977,2916,1977,4287,73.4502
g11975.t1,thiosulfate sulfurtransferase,69,1023,69,210,10.2558
g11976.t1,anaphase-promoting complex subunit 11,71,288,71,71,12.3167
g11977.t1,hypothetical protein CH063_10858 [Colletotrichum higginsianum],171,741,171,216,14.5634
g11978.t1,Not Available,36,489,36,47,4.8019
g11979.t1,Not Available,10,1062,10,40,1.8818
g1198.t1,mitochondrial carnitine carrier,346,963,346,872,45.2395
g11980.t1,snare domain-containing protein,952,1146,952,3027,131.9639
g11981.t1,duf52 domain-containing protein,487,960,487,755,39.2919
g11982.t1,Not Available,192,1800,192,384,10.6583
g11983.t1,orf21 protein,23,696,23,52,3.7327
g11984.t1,Not Available,135,873,135,350,20.0300
g11985.t1,pngase family,2197,1383,2197,4381,158.2626
g11986.t1,Not Available,29,2370,29,77,1.6232
g11987.t1,u3 small nucleolar rna-associated protein,209,2619,209,576,10.9879
g11988.t1,nicotinate phosphoribosyltransferase,727,2082,727,1494,35.8507
g11989.t1,Not Available,71,1938,71,142,3.6607
g1199.t1,Not Available,8,1902,8,18,0.4728
g11990.t1,Not Available,4759,194,4759,4759,1225.5788
g11991.t1,l-galactose dehydrogenase,133,1110,133,158,7.1115
g11992.t1,Not Available,0,567,0,0,0.0000
g11993.t1,Not Available,28,843,28,91,5.3931
g11994.t1,c2h2 zinc finger protein,1279,2658,1279,2417,45.4306
g11995.t1,Not Available,0,426,0,2,0.2346
g11996.t1,Not Available,83,1263,83,107,4.2326
g11997.t1,ascus development protein,211,1578,211,276,8.7383
g11998.t1,Not Available,23,426,23,23,2.6974
g11999.t1,qde-2-interacting protein,34,759,34,34,2.2380
g12.t1,high-affinity nicotinic acid transporter,5524,2688,5524,5573,103.5827
g120.t1,methyltransferase domain-containing protein,102,1050,102,113,5.3767
g1200.t1,sh3 domain protein,584,2250,584,1229,27.2896
g12000.t1,mfs multidrug,51,1701,51,53,1.5567
g12001.t1,outer membrane protein,545,2577,545,959,18.5922
g12002.t1,Not Available,0,528,0,1,0.0946
g12003.t1,Not Available,74,729,74,126,8.6352
g12004.t1,protein,168,870,168,285,16.3664
g12005.t1,Not Available,0,423,0,1,0.1181
g12006.t1,"hypothetical protein MYCTH_2071098, partial [Myceliophthora thermophila ATCC 42464]",0,2334,0,0,0.0000
g12007.t1,Not Available,0,1311,0,1,0.0381
g12008.t1,ubiquitin-conjugating enzyme,633,1293,633,1024,39.5666
g12009.t1,Not Available,260,858,260,524,30.5120
g1201.t1,Not Available,3,741,3,3,0.2023
g12010.t1,hypothetical protein NECHADRAFT_36706 [Nectria haematococca mpVI 77-13-4],652,2397,652,961,20.0301
g12011.t1,Not Available,0,873,0,1,0.0572
g12012.t1,Not Available,255,1326,255,480,18.0853
g12013.t1,hypothetical protein GLRG_09470 [Glomerella graminicola M1.001],1414,1707,1414,2388,69.8921
g12014.t1,Not Available,0,846,0,0,0.0000
g12015.t1,hypothetical protein CTHT_0007670 [Chaetomium thermophilum var. thermophilum DSM 1495],0,1059,0,0,0.0000
g12016.t1,Not Available,3,1992,3,6,0.1505
g12017.t1,dna helicase,33,2898,33,37,0.6379
g12018.t1,Not Available,2,234,2,2,0.4270
g12019.t1,Not Available,2,672,2,2,0.1487
g1202.t1,snornp assembly factor,50,2061,50,120,2.9089
g12020.t1,protein,642,867,642,1314,75.7188
g12021.t1,c6 transcription,63,2136,63,68,1.5905
g12022.t1,Not Available,5,582,5,6,0.5151
g12023.t1,mannose-6-phosphate isomerase-like protein,364,1224,364,364,14.8576
g12024.t1,hypothetical protein FOXB_06186 [Fusarium oxysporum Fo5176],70,1032,70,118,5.7125
g12025.t1,Not Available,8,879,8,16,0.9094
g12026.t1,er-golgi snare complex subunit,150,519,150,234,22.5256
g12027.t1,Not Available,0,444,0,0,0.0000
g12028.t1,Not Available,337,804,337,494,30.6972
g12029.t1,Not Available,613,360,613,1278,177.3600
g1203.t1,Not Available,0,1449,0,1,0.0345
g12030.t1,nuc-1 negative regulatory protein preg,470,1650,470,904,27.3723
g12031.t1,hypothetical protein FOXB_06182 [Fusarium oxysporum Fo5176],377,1581,377,753,23.7953
g12032.t1,Not Available,21,1350,21,61,2.2575
g12033.t1,armadillo repeat protein,865,4977,865,1523,15.2883
g12034.t1,Not Available,179,1014,179,384,18.9200
g12035.t1,predicted protein [Trichoderma reesei QM6a],156,1488,156,224,7.5209
g12036.t1,Not Available,50,1569,50,235,7.4829
g12037.t1,velvet protein,472,2859,472,1484,25.9327
g12038.t1,Not Available,115,2802,115,288,5.1351
g12039.t1,ankyrin repeat protein,2052,4062,2052,4347,53.4659
g1204.t1,glycosyltransferase family 22 protein,369,1950,369,447,11.4525
g12040.t1,Not Available,21,363,21,21,2.8903
g12041.t1,Not Available,93,561,93,533,47.4670
g12042.t1,histidine phosphotransferase hpt1p,472,744,472,2082,139.8090
g12043.t1,Not Available,134,795,134,196,12.3173
g12044.t1,hypothetical protein MAC_01833 [Metarhizium acridum CQMa 102],6093,1068,6093,8550,399.9651
g12045.t1,elongator complex protein,943,5895,943,2837,24.0438
g12046.t1,kow motif domain-containing protein,167,4212,167,670,7.9472
g12047.t1,Not Available,21,297,21,21,3.5326
g12048.t1,dna replication licensing factor mcm3,999,3534,999,1435,20.2868
g12049.t1,hypothetical protein AaeL_AAEL002778 [Aedes aegypti],83,933,83,136,7.2826
g1205.t1,Not Available,0,795,0,0,0.0000
g12050.t1,mak32 protein,257,1299,257,492,18.9227
g12051.t1,adenylyl cyclase-associated protein,2209,3528,2209,5701,80.7327
g12052.t1,carnitine o-acetyltransferase precursor,1927,3183,1927,5230,82.0904
g12053.t1,Not Available,38,1245,38,59,2.3676
g12054.t1,swi snf complex protein,2862,2097,2862,3571,85.0783
g12055.t1,electron transfer flavoprotein subunit alpha,812,1086,812,3698,170.1235
g12056.t1,nadph:adrenodoxin oxidoreductase,276,2166,276,843,19.4445
g12057.t1,Not Available,0,429,0,1,0.1165
g12058.t1,hypothetical protein GLRG_02699 [Glomerella graminicola M1.001],569,1761,569,789,22.3844
g12059.t1,dna mismatch repair protein,180,3465,180,214,3.0856
g1206.t1,Not Available,12,1170,12,16,0.6832
g12060.t1,gpi inositol-deacylase,556,3642,556,624,8.5600
g12061.t1,Not Available,1,816,1,2,0.1225
g12062.t1,membrane protein,3440,2775,3440,4315,77.6864
g12063.t1,mfs transporter,2276,2364,2276,2968,62.7254
g12064.t1,cystathionine beta-lyase,931,1347,931,1538,57.0448
g12065.t1,Not Available,1,669,1,5,0.3734
g12066.t1,atpase family aaa domain-containing protein 1,2832,1452,2832,3008,103.4996
g12067.t1,Not Available,2,267,2,3,0.5614
g12068.t1,chromosome segregation protein,385,1551,385,503,16.2026
g12069.t1,Not Available,104,669,104,163,12.1728
g1207.t1,Not Available,23,783,23,31,1.9780
g12070.t1,gpi ethanolamine phosphate transferase 1,1359,3111,1359,1851,29.7258
g12071.t1,Not Available,0,864,0,1,0.0578
g12072.t1,Not Available,196,621,196,416,33.4679
g12073.t1,Not Available,6,387,6,6,0.7746
g12074.t1,Not Available,1292,2151,1292,1573,36.5355
g12075.t1,hypothetical protein GLRG_02843 [Glomerella graminicola M1.001],7978,1404,7978,10617,377.8000
g12076.t1,Not Available,243,1353,243,1099,40.5814
g12077.t1,small s protein,0,906,0,3,0.1654
g12078.t1,nacht and ankyrin domain protein,529,5634,529,801,7.1030
g12079.t1,Not Available,0,678,0,1,0.0737
g1208.t1,Not Available,5,489,5,6,0.6130
g12080.t1,Not Available,0,810,0,0,0.0000
g12081.t1,transcription-silencing protein clr2,167,1974,167,285,7.2132
g12082.t1,Not Available,283,2151,283,983,22.8318
g12083.t1,dna repair protein,22,903,22,40,2.2131
g12084.t1,hypothetical protein FOXB_06798 [Fusarium oxysporum Fo5176],460,2811,460,1366,24.2782
g12085.t1,ash2-trithorax family protein,43,1656,43,71,2.1420
g12086.t1,amidase,530,5295,530,850,8.0201
g12087.t1,copper amine oxidase,54,2067,54,59,1.4261
g12088.t1,Not Available,0,1389,0,1,0.0360
g12089.t1,amidohydrolase family protein,110,1623,110,173,5.3254
g1209.t1,Not Available,0,264,0,0,0.0000
g12090.t1,Not Available,0,720,0,0,0.0000
g12091.t1,c6 finger domain,202,1524,202,202,6.6221
g12092.t1,mfs transporter,31,1683,31,39,1.1577
g12093.t1,Not Available,0,792,0,2,0.1262
g12094.t1,hypothetical protein VDAG_03702 [Verticillium dahliae VdLs.17],243,1209,243,243,10.0417
g12095.t1,arginine deiminase type-3,82,1803,82,119,3.2975
g12096.t1,Not Available,0,957,0,2,0.1044
g12097.t1,mitochondrial carrier protein,151,996,151,194,9.7313
g12098.t1,Not Available,0,474,0,3,0.3162
g12099.t1,siderophore iron,2,1349,2,2,0.0741
g121.t1,Not Available,0,246,0,0,0.0000
g1210.t1,Not Available,2,651,2,2,0.1535
g12100.t1,flavin-binding monooxygenase-like protein,89,1557,89,89,2.8558
g12101.t1,long-chain-fatty-acid-- ligase,166,4080,166,166,2.0327
g12102.t1,Not Available,0,1419,0,0,0.0000
g12103.t1,methyltransferase domain-containing protein,1424,1605,1424,1424,44.3264
g12104.t1,f-box domain containing protein,130,1563,130,130,4.1554
g12105.t1,Not Available,0,879,0,4,0.2274
g12106.t1,acetylornithine deacetylase,283,2283,283,600,13.1302
g12107.t1,Not Available,0,873,0,1,0.0572
g12108.t1,duf1275 domain protein,69,831,69,90,5.4109
g12109.t1,Not Available,0,312,0,1,0.1601
g1211.t1,Not Available,42,396,42,42,5.2988
g12110.t1,sodium nucleoside cotransporter,95,714,95,135,9.4463
g12111.t1,Not Available,40,570,40,58,5.0837
g12112.t1,conidial pigment polyketide synthase alb1,43,537,43,43,4.0006
g12113.t1,integral membrane protein,98,1134,98,98,4.3176
g12114.t1,phosphoglycerate mutase family protein,49,1101,49,70,3.1764
g12115.t1,Not Available,219,4032,219,949,11.7591
g12116.t1,sugar transporter stl1,285,1617,285,2630,81.2593
g12117.t1,Not Available,125,1269,125,302,11.8897
g12118.t1,s-adenosylmethionine-dependent methyltransferase,104,1218,104,251,10.2956
g12119.t1,Pc22g24660 [Penicillium chrysogenum Wisconsin 54-1255],328,879,328,328,18.6428
g1212.t1,Not Available,0,336,0,0,0.0000
g12120.t1,thioredoxin reductase,14,2046,14,37,0.9035
g12121.t1,mfs transporter,4601,2547,4601,10347,202.9611
g12122.t1,fungal specific transcription,78,1158,78,78,3.3652
g12123.t1,zinc finger partial,216,879,216,216,12.2770
g12124.t1,Not Available,257,1416,257,358,12.6313
g12125.t1,sporulation protein rmd1,109,426,109,136,15.9498
g12126.t1,phenylalanyl-trna beta subunit,1491,4971,1491,3456,34.7342
g12127.t1,protein phosphatase pp2a regulatory subunit a,3107,6624,3107,6274,47.3207
g12128.t1,40s ribosomal protein s3,1349,2613,1349,3112,59.5014
g12129.t1,conserved hypothetical protein [Clavispora lusitaniae ATCC 42720],1591,1251,1591,5443,217.3743
g1213.t1,Not Available,0,681,0,0,0.0000
g12130.t1,Not Available,139,1185,139,222,9.3597
g12131.t1,duf803 domain membrane protein,846,1269,846,1200,47.2440
g12132.t1,coatomer subunit delta,2878,3468,2878,4689,67.5505
g12133.t1,conserved glutamic acid-rich protein,903,2163,903,1329,30.6970
g12134.t1,Not Available,9,1953,9,16,0.4093
g12135.t1,anaphase-promoting complex component cut20 apc4,250,3651,250,417,5.7063
g12136.t1,gtp-binding protein gtr2,379,1125,379,1188,52.7583
g12137.t1,Not Available,3,501,3,5,0.4986
g12138.t1,hypothetical protein GLRG_03640 [Glomerella graminicola M1.001],164,888,164,231,12.9965
g12139.t1,hypothetical protein CH063_00317 [Colletotrichum higginsianum],5987,774,5987,7425,479.2728
g1214.t1,Not Available,40,2625,40,71,1.3513
g12140.t1,Not Available,7,519,7,12,1.1552
g12141.t1,Not Available,13,1188,13,68,2.8597
g12142.t1,histidine acid phosphatase,33,1569,33,125,3.9803
g12143.t1,Not Available,526,3021,526,3074,50.8371
g12144.t1,negative regulator of differentiation 1,270,2370,270,2006,42.2873
g12145.t1,Not Available,63,1797,63,486,13.5119
g12146.t1,asparaginyl-trna synthetase,156,1746,156,1267,36.2543
g12147.t1,methyltransferase domain-containing protein,0,1143,0,0,0.0000
g12148.t1,major facilitator superfamily transporter,115,1509,115,115,3.8075
g12149.t1,lipolytic protein g-d-s-l family,0,1038,0,0,0.0000
g1215.t1,Not Available,0,549,0,2,0.1820
g12150.t1,Not Available,0,795,0,0,0.0000
g12151.t1,siderophore biosynthesis,16,615,16,18,1.4623
g12152.t1,Not Available,3,588,3,3,0.2549
g12153.t1,hypothetical protein NECHADRAFT_64343 [Nectria haematococca mpVI 77-13-4],0,459,0,0,0.0000
g12154.t1,hypothetical protein NECHADRAFT_88133 [Nectria haematococca mpVI 77-13-4],2,642,2,2,0.1556
g12155.t1,methyltransferase domain-containing protein,1145,1065,1145,1145,53.7135
g12156.t1,urease,174,4611,174,176,1.9070
g12157.t1,Not Available,0,492,0,0,0.0000
g12158.t1,alpha beta hydrolase fold protein,0,1320,0,0,0.0000
g12159.t1,c2h2 transcription factor,270,2352,270,270,5.7353
g1216.t1,Not Available,0,753,0,5,0.3317
g12160.t1,3-hydroxyisobutyrate dehydrogenase,2,951,2,2,0.1051
g12161.t1,4-carboxymuconolactone decarboxylase,0,438,0,0,0.0000
g12162.t1,succinate-semialdehyde dehydrogenase,0,1491,0,0,0.0000
g12163.t1,alpha beta,33,897,33,33,1.8380
g12164.t1,integral membrane protein,53,1206,53,70,2.8999
g12165.t1,Not Available,0,615,0,1,0.0812
g12166.t1,glycoside hydrolase,533,3255,533,711,10.9130
g12167.t1,methyltransferase domain-containing protein,1809,2526,1809,2632,52.0571
g12168.t1,Not Available,0,363,0,1,0.1376
g12169.t1,Not Available,3,471,3,5,0.5304
g1217.t1,Not Available,4,1347,4,12,0.4451
g12170.t1,poly rna polymerase cid14,224,2151,224,328,7.6183
g12171.t1,Not Available,0,1425,0,0,0.0000
g12172.t1,Not Available,5,519,5,14,1.3477
g12173.t1,mitochondrial import inner membrane translocase subunit tim16,338,1758,338,621,17.6482
g12174.t1,golgi membrane,780,1251,780,1043,41.6538
g12175.t1,Not Available,23,2838,23,25,0.4401
g12176.t1,fungal cellulose binding domain-containing protein,16,975,16,30,1.5372
g12177.t1,abhydrolase domain-containing protein 12,0,1137,0,0,0.0000
g12178.t1,hypothetical protein SNOG_08475 [Phaeosphaeria nodorum SN15],127,735,127,127,8.6326
g12179.t1,cyclohexanone -monooxygenase,0,1995,0,0,0.0000
g1218.t1,mmp37-like protein,161,1599,161,276,8.6236
g12180.t1,Not Available,3,2295,3,11,0.2395
g12181.t1,glycoside hydrolase family 61 protein,11,972,11,41,2.1074
g12182.t1,Not Available,1,1044,1,5,0.2393
g12183.t1,Not Available,10,1539,10,24,0.7791
g12184.t1,conserved hypothetical protein [Aspergillus clavatus NRRL 1],551,768,551,870,56.5959
g12185.t1,_thioesterase family,1161,3948,1161,1570,19.8678
g12186.t1,Not Available,4633,1299,4633,7090,272.6869
g12187.t1,rna polymerase ii transcription factor b subunit 2,664,2499,664,780,15.5939
g12188.t1,hypothetical protein TRIATDRAFT_35755 [Trichoderma atroviride IMI 206040],144,1233,144,161,6.5236
g12189.t1,duf833 domain-containing protein,5290,1035,5290,15711,758.3868
g1219.t1,Not Available,73,657,73,98,7.4523
g12190.t1,Not Available,1,618,1,11,0.8893
g12191.t1,Not Available,1460,1110,1460,3013,135.6137
g12192.t1,hypothetical protein MGG_05242 [Magnaporthe oryzae 70-15],1010,909,1010,2247,123.4999
g12193.t1,receptor expression-enhancing protein,960,2028,960,1835,45.2059
g12194.t1,mitochondrial genome maintenance protein mgm101,30,1677,30,65,1.9365
g12195.t1,chch domain-containing protein,275,1011,275,292,14.4298
g12196.t1,biotin apo-protein,194,1986,194,301,7.5721
g12197.t1,Not Available,39,1056,39,68,3.2172
g12198.t1,dienelactone hydrolase family protein,2075,2637,2075,3870,73.3210
g12199.t1,Not Available,2,732,2,8,0.5460
g122.t1,Not Available,74,4632,74,876,9.4485
g1220.t1,hypothetical protein CH063_14039 [Colletotrichum higginsianum],71,2868,71,149,2.5956
g12200.t1,hypothetical protein FG08514.1 [Gibberella zeae PH-1],544,4335,544,632,7.2838
g12201.t1,Not Available,0,426,0,0,0.0000
g12202.t1,hypothetical protein GLRG_02440 [Glomerella graminicola M1.001],1211,1704,1211,1211,35.5060
g12203.t1,phd-finger domain-containing protein,237,1785,237,495,13.8546
g12204.t1,Not Available,0,1479,0,0,0.0000
g12205.t1,mitochondrial gtpase,195,1113,195,320,14.3642
g12206.t1,Not Available,0,717,0,2,0.1394
g12207.t1,Not Available,15,918,15,16,0.8708
g12208.t1,Not Available,1,420,1,1,0.1190
g12209.t1,Not Available,41,4707,41,97,1.0296
g1221.t1,spindle assembly checkpoint component mad1,289,2346,289,649,13.8211
g12210.t1,myosin type ii heavy chain,384,7158,384,706,4.9277
g12211.t1,hypothetical protein FOXB_08952 [Fusarium oxysporum Fo5176],1021,3306,1021,1021,15.4294
g12212.t1,woronin body major protein,8234,1626,8234,27190,835.4413
g12213.t1,uncharacterized protein LOC100382700 [Zea mays],1894,1419,1894,6973,245.5074
g12214.t1,zinc finger protein dhhc domain containing protein,1188,2637,1188,2127,40.2981
g12215.t1,Not Available,0,522,0,0,0.0000
g12216.t1,Not Available,0,783,0,5,0.3190
g12217.t1,Not Available,2,516,2,2,0.1936
g12218.t1,Not Available,12,858,12,12,0.6987
g12219.t1,c6 transcription factor,10,2154,10,10,0.2319
g1222.t1,Not Available,8,3486,8,15,0.2150
g12220.t1,Not Available,0,465,0,0,0.0000
g12221.t1,Not Available,0,1404,0,0,0.0000
g12222.t1,mfs transporter,0,2310,0,0,0.0000
g12223.t1,extracellular serine-rich protein,0,867,0,2,0.1152
g12224.t1,high affinity methionine permease,30,1593,30,59,1.8504
g12225.t1,hypothetical protein TRV_05779 [Trichophyton verrucosum HKI 0517],0,1209,0,2,0.0826
g12226.t1,alpha beta-hydrolase,131,2175,131,371,8.5220
g12227.t1,pyridine nucleotide-disulphide,252,2523,252,634,12.5545
g12228.t1,aspartyl-trna synthetase,217,2826,217,879,15.5397
g12229.t1,Not Available,102,2577,102,423,8.2007
g1223.t1,Not Available,2,684,2,5,0.3652
g12230.t1,hypothetical protein NCU07108 [Neurospora crassa OR74A],35,939,35,54,2.8731
g12231.t1,Not Available,0,237,0,0,0.0000
g12232.t1,Not Available,0,354,0,0,0.0000
g12233.t1,proline iminopeptidase,3838,876,3838,3862,220.2599
g12234.t1,Not Available,9,387,9,9,1.1619
g12235.t1,Not Available,2,675,2,5,0.3701
g12236.t1,inner membrane transport protein yfav,4,1545,4,6,0.1940
g12237.t1,dichloro- -cyclohexadiene- -diol dehydrogenase,6,846,6,6,0.3543
g12238.t1,lipase,22,1089,22,32,1.4681
g12239.t1,Not Available,0,555,0,1,0.0900
g1224.t1,Not Available,1,591,1,3,0.2536
g12240.t1,conserved fungal protein,112,732,112,112,7.6442
g12241.t1,Not Available,83,1338,83,87,3.2486
g12242.t1,conserved hypothetical protein [Coccidioides posadasii str. Silveira],14,972,14,15,0.7710
g12243.t1,alpha beta hydrolase,5,744,5,5,0.3358
g12244.t1,c6 transcription factor,93,3285,93,97,1.4752
g12245.t1,Not Available,0,471,0,1,0.1061
g12246.t1,flavin-binding monooxygenase,1,1854,1,1,0.0269
g12247.t1,Not Available,0,597,0,1,0.0837
g12248.t1,triosephosphate isomerase,638,768,638,1643,106.8818
g12249.t1,hypothetical protein AFUA_2G11030 [Aspergillus fumigatus Af293],2121,1260,2121,4616,183.0301
g1225.t1,fes cip4 domain-containing protein,353,2556,353,1150,22.4783
g12250.t1,ribose 5-phosphate isomerase,2324,468,2324,4179,446.1221
g12251.t1,dihydroxyacetone kinase,3061,2037,3061,5315,130.3585
g12252.t1,Not Available,51,1305,51,113,4.3261
g12253.t1,transcription factor,263,2433,263,263,5.4006
g12254.t1,carbon-nitrogen,27,1008,27,81,4.0147
g12255.t1,Not Available,1,669,1,8,0.5974
g12256.t1,cytochrome p450,71,1587,71,138,4.3444
g12257.t1,Not Available,0,693,0,3,0.2163
g12258.t1,helix-loop-helix dna-binding domain-containing protein,2201,1794,2201,2249,62.6317
g12259.t1,Not Available,103,396,103,107,13.4994
g1226.t1,Not Available,0,864,0,1,0.0578
g12260.t1,nuclear membrane fusion protein,173,1434,173,173,6.0273
g12261.t1,xaa-pro dipeptidase app,309,1524,309,459,15.0472
g12262.t1,Not Available,0,405,0,0,0.0000
g12263.t1,Not Available,0,396,0,1,0.1262
g12264.t1,dbf zinc finger domain-containing protein,823,2064,823,1118,27.0620
g12265.t1,Not Available,282,1185,282,459,19.3518
g12266.t1,Not Available,0,558,0,0,0.0000
g12267.t1,hypothetical protein GLRG_10587 [Glomerella graminicola M1.001],1030,3375,1030,1034,15.3064
g12268.t1,Not Available,78,627,78,91,7.2511
g12269.t1,ubiquitin-like autophagy protein apg12,119,450,119,156,17.3197
g1227.t1,Not Available,18,390,18,18,2.3059
g12270.t1,Not Available,280,897,280,489,27.2360
g12271.t1,3-methyl-2-oxobutanoate hydroxymethyltransferase,260,888,260,469,26.3868
g12272.t1,ubiquitin-conjugating enzyme,752,2523,752,1218,24.1189
g12273.t1,Not Available,620,693,620,1502,108.2839
g12274.t1,duf455 domain protein,29,1059,29,39,1.8399
g12275.t1,conserved hypothetical protein [Verticillium albo-atrum VaMs.102],173,1965,173,182,4.6274
g12276.t1,sir2 family histone,366,1011,366,593,29.3043
g12277.t1,Not Available,0,435,0,0,0.0000
g12278.t1,Not Available,33,1431,33,94,3.2818
g12279.t1,glycoside hydrolase family 16 protein,392,1185,392,1125,47.4309
g1228.t1,serine threonine-protein kinase csk1,246,2400,246,357,7.4316
g12280.t1,Not Available,4,960,4,16,0.8327
g12281.t1,l-galactonate dehydratase,540,1359,540,1125,41.3581
g12282.t1,Not Available,23,810,23,34,2.0971
g12283.t1,mating-type switching protein swi10,301,1206,301,404,16.7364
g12284.t1,Not Available,202,1245,202,662,26.5654
g12285.t1,heterogeneous nuclear ribonucleoprotein hrp1,0,991,0,3,0.1512
g12286.t1,formyl transferase,1022,2106,1022,1535,36.4147
g12287.t1,Not Available,9,1059,9,20,0.9435
g12288.t1,Not Available,9,705,9,12,0.8504
g12289.t1,Not Available,5,1050,5,8,0.3807
g1229.t1,c3hc4 type (ring finger) zinc finger containing protein,652,5484,652,800,7.2882
g12290.t1,Not Available,2,939,2,4,0.2128
g12291.t1,Not Available,7,435,7,7,0.8040
g12292.t1,c2h2 finger domain,146,1560,146,147,4.7078
g12293.t1,pentatricopeptide repeat protein,767,6153,767,1136,9.2240
g12294.t1,Not Available,0,645,0,3,0.2324
g12295.t1,Not Available,0,522,0,0,0.0000
g12296.t1,coiled-coil domain-containing,114,561,114,132,11.7554
g12297.t1,hypothetical protein GLRG_03325 [Glomerella graminicola M1.001],154,1641,154,225,6.8502
g12298.t1,Not Available,858,1344,858,1585,58.9193
g12299.t1,hypothetical protein CTHT_0046350 [Chaetomium thermophilum var. thermophilum DSM 1495],123,1386,123,153,5.5151
g123.t1,alpha-glucosidase,366,2748,366,6763,122.9561
g1230.t1,Not Available,1,633,1,2,0.1579
g12300.t1,ureidoglycolate hydrolase,312,1191,312,424,17.7861
g12301.t1,Not Available,1,483,1,3,0.3103
g12302.t1,dna repair protein rad8,98,7503,98,118,0.7857
g12303.t1,Not Available,0,447,0,0,0.0000
g12304.t1,Not Available,3,3684,3,4,0.0542
g12305.t1,Not Available,22,579,22,45,3.8829
g12306.t1,ww-domain ligand protein,658,795,658,1050,65.9856
g12307.t1,ubiquinol-cytochrome c reductase complex 17 kd protein,1833,459,1833,2273,247.4082
g12308.t1,Not Available,22,474,22,26,2.7405
g12309.t1,3-ketosteroid reductase,61,2835,61,181,3.1897
g1231.t1,Not Available,15495,1926,15495,18235,473.0170
g12310.t1,major facilitator superfamily transporter,410,4176,410,1032,12.3466
g12311.t1,sucrase ferredoxin-like family,32,1266,32,45,1.7758
g12312.t1,Not Available,147,1524,147,222,7.2777
g12313.t1,heterochromatin protein one,146,942,146,266,14.1078
g12314.t1,Not Available,59,357,59,59,8.2568
g12315.t1,Not Available,570,2784,570,704,12.6337
g12316.t1,hypothetical protein TRIVIDRAFT_208976 [Trichoderma virens Gv29-8],2308,2100,2308,3047,72.4904
g12317.t1,nicotinamide mononucleotide adenylyl transferase,617,834,617,810,48.5228
g12318.t1,Not Available,14,417,14,22,2.6358
g12319.t1,Not Available,106,1635,106,194,5.9280
g1232.t1,conserved serine-threonine rich protein,3943,2298,3943,4539,98.6819
g12320.t1,lysyl-trna synthetase,1264,2469,1264,1922,38.8919
g12321.t1,small nucleolar ribonucleoprotein complex subunit utp14,122,2622,122,266,5.0685
g12322.t1,Not Available,0,1236,0,0,0.0000
g12323.t1,cytochrome c oxidase assembly,875,1461,875,1823,62.3396
g12324.t1,glycoside hydrolase family 81 protein,4292,6030,4292,8165,67.6497
g12325.t1,Not Available,124,1140,124,528,23.1396
g12326.t1,Not Available,559,714,559,563,39.3947
g12327.t1,Not Available,1,375,1,1,0.1332
g12328.t1,Not Available,0,861,0,1,0.0580
